Text,Cleaned_Text,Sentiment_Label,Sentiment_Score,Topic,Key_Phrases
"I am a lover of coffee and will try almost any coffee product once. I own a coffee pod maker at work, and I have been using Senseo's medium roast and espresso pods for a few months, but after trying Marley Coffee, I do not think I can go back to Senseo. I am not demeaning Senseo's quality, but I am certainly highlighting my preference for Marley Coffee. I will admit that when it comes to pod coffee, I do not expect much, and that's probably why I have stuck to only one brand; Marley Coffee, however, went beyond my expectations. I like my coffee strong; therefore, I recommend one pours no more than 6 oz. per pod for a strong flavor (this is coming from a person who drinks `straight' coffee; I never add other ingredients or sweeteners)). On a side note, there was no particular exotic/fruity taste to this coffee, but the overall quality met my expectations and passed the ""will continue to buy"" test. Other perks: it's organic, natural, and tasty, which, in my book, is worth the price.",lover coffee try almost coffee product coffee pod maker work using senseo medium roast espresso pod month trying marley coffee think go back senseo demeaning senseo quality certainly highlighting preference marley coffee admit come pod coffee expect much probably stuck one brand marley coffee however went beyond expectation like coffee strong therefore recommend one pours 6 oz per pod strong flavor coming person drink straight coffee never add ingredient sweetener side note particular exotic fruity taste coffee overall quality met expectation passed continue buy test perk organic natural tasty book worth price,NEGATIVE,0.9718760251998901,0,"['lover coffee', 'almost coffee product coffee pod maker work', 'senseo medium roast espresso pod month', 'marley coffee think', 'senseo demeaning senseo quality', 'preference marley coffee admit', 'pod coffee', 'one brand marley coffee', 'expectation', 'coffee', 'one pours', 'pod strong flavor', 'straight coffee', 'ingredient sweetener side note', 'particular exotic fruity taste coffee overall quality met expectation', 'test perk organic natural tasty book']"
In the UK this is one of the most popular chocolate bars.  It is a light honeycomb bar covered in Cadburys Milk Chocolate. If you like toffee and chocolate you will love these!,uk one popular chocolate bar light honeycomb bar covered cadburys milk chocolate like toffee chocolate love,POSITIVE,0.9816870093345642,15,"['uk one popular chocolate bar light honeycomb bar', 'cadburys milk chocolate', 'toffee chocolate love']"
My daughter bought a Keurig coffee maker for my husband for Christmas. His favorite coffee is Starbucks House Blend so when I found that I could get the K cups I decided to get several for him for Christmas. They arrived very quickly and were just as described. He has been enjoying his coffee so it must be good.,daughter bought keurig coffee maker husband christmas favorite coffee starbucks house blend found could get k cup decided get several christmas arrived quickly described enjoying coffee must good,POSITIVE,0.9972348809242249,0,"['daughter', 'keurig coffee maker husband christmas favorite coffee starbucks house blend', 'k cup', 'several christmas', 'coffee']"
Comparable flavor to Starbucks and cost much less. I don't know why anyone would buy a 12 pack. All flavors are good as well.,comparable flavor starbucks cost much less know anyone would buy 12 pack flavor good well,NEGATIVE,0.9356985092163086,0,"['comparable flavor starbucks', 'anyone', '12 pack flavor']"
"Simply awful.  This product should be taken off the market immediately.  They did absolutely nothing for my 2-yr old dog's teeth.  I gave him about 4 per week until he almost choked to death on about the 10th one.  Awful, dangerous product, simple as that.",simply awful product taken market immediately absolutely nothing 2 yr old dog teeth gave 4 per week almost choked death 10th one awful dangerous product simple,NEGATIVE,0.9995699524879456,-1,"['simply awful product', 'market', 'absolutely nothing 2 yr old dog teeth', 'week', 'death', '10th one awful dangerous product simple']"
"I would give it.  This hot sauce is the best hot sauce that has ever been made with human hands.  To compare this to Tabasco is an utter mockery, but that is the most common ""hot sauce"" that most Americans have experienced, so that is the one that I will compare it to.  Anyone that would try to genuinely compare the two should have a CAT scan done.  A 7 out of 10 as far as hotness, Tapatio can go on anything that you need to make spicy and tasty.  Try putting a couple of squirts of this Mexican nectar in a bag of Doritos and you WILL NOT be able to put them down.  Buy the 32 oz. size, you will not regret it!",would give hot sauce best hot sauce ever made human hand compare tabasco utter mockery common hot sauce american experienced one compare anyone would try genuinely compare two cat scan done 7 10 far hotness tapatio go anything need make spicy tasty try putting couple squirt mexican nectar bag doritos able put buy 32 oz size regret,NEGATIVE,0.9929248094558716,5,"['hot sauce best hot sauce', 'human hand', 'tabasco utter mockery common hot sauce american', 'one compare', 'anyone', 'two cat', 'scan', 'far hotness tapatio', 'anything', 'spicy tasty', 'couple squirt mexican nectar bag doritos', 'put', 'size']"
"Luckily this is available locally so I got to try it without ordering a whole case. I find it absolutely delicious. So far it got used to make a black rice with dried cranberry dish, very simple. Tomorrow a pumpkin curry soup, then I think a chicken curry the next day. I'm looking into making my own coconut milk so I don't have to worry about using a whole can before it goes bad, but meanwhile I am delighted with this brand in both taste and consistency.<br /><br />AND let me not forget to praise the manufacturer for resisting the temptation to add those poisons people think are preservatives (particularly sodium metabisulfite). I'd rather there were no guar gum, frankly, but was unable to find any without that at local supermarkets.",luckily available locally got try without ordering whole case find absolutely delicious far got used make black rice dried cranberry dish simple tomorrow pumpkin curry soup think chicken curry next day looking making coconut milk worry using whole go bad meanwhile delighted brand taste consistency br br let forget praise manufacturer resisting temptation add poison people think preservative particularly sodium metabisulfite rather guar gum frankly unable find without local supermarket,NEGATIVE,0.9676171541213989,-1,"['try', 'whole case', 'black rice', 'simple tomorrow pumpkin curry soup', 'coconut milk worry', 'praise manufacturer resisting temptation', 'poison people', 'preservative particularly sodium metabisulfite rather guar gum', 'local supermarket']"
"This oatmeal is great.  I eat it almost every morning.  The brands in the stores I was buying had changed the texture and I did not like them anymore.  I coould not find an oatmeal I liked so I stopped eating oatmeal..... until I found out about McCann's. The cost is the same as in the store and with free shipping from Amazon, I don't lose out at all.",oatmeal great eat almost every morning brand store buying changed texture like anymore coould find oatmeal liked stopped eating oatmeal found mccann cost store free shipping amazon lose,NEGATIVE,0.9922825694084167,-1,"['oatmeal great eat', 'brand store buying', 'mccann cost store free shipping amazon']"
Satin Ice is the best tasting fondant I can find on the market.  It's a little more sticky than other types of fondant but you can keep it from sticking to your hands by rubbing some crisco on your hands before working with the fondant.,satin ice best tasting fondant find market little sticky type fondant keep sticking hand rubbing crisco hand working fondant,NEGATIVE,0.9669905304908752,10,"['satin ice', 'fondant find market', 'little sticky type fondant', 'hand', 'crisco hand']"
I bought this for my 73 year old dad he had seen it on a commercial and thought it looked like good stuff..he is very pleased with it,bought 73 year old dad seen commercial thought looked like good stuff pleased,POSITIVE,0.9991117119789124,3,"['73 year old dad', 'commercial thought', 'good stuff']"
"I never saw this gift basket myself nor tried any goodies from it. I bought it to say ""Thank you"" to my business associate.<br />The recipient liked it, so I think I will purchase it again in the future. It is priced fairly and it is a nice way to express your gratitude.",never saw gift basket tried goody bought say thank business associate br recipient liked think purchase future priced fairly nice way express gratitude,POSITIVE,0.9989442229270935,3,"['gift basket', 'goody', 'thank business associate br recipient liked think purchase future', 'fairly nice way express gratitude']"
Unbeatable little tool for making shredded green papaya salad.  I use it to shred many different not-so-ripe fruits and veggies besides papaya. Better than the typical cheese grater for shredding because it doesn't bruise the fruit/veggie. I highly recommend this tool.,unbeatable little tool making shredded green papaya salad use shred many different ripe fruit veggie besides papaya better typical cheese grater shredding bruise fruit veggie highly recommend tool,NEGATIVE,0.7827597856521606,-1,"['unbeatable little tool making shredded green papaya salad use', 'many different ripe fruit veggie', 'papaya', 'better typical cheese grater', 'bruise fruit veggie', 'tool']"
"It sure would be nice if they stated ANYWHERE in the description of this coffee that it is flavored.  I love the Bed and Breakfast coffee, it's just plain coffee, so I was surprised when I received the Jamaica coffee and it was flavored.  YUCK!",sure would nice stated anywhere description coffee flavored love bed breakfast coffee plain coffee surprised received jamaica coffee flavored yuck,POSITIVE,0.987424910068512,0,"['anywhere description coffee flavored love bed breakfast coffee plain coffee surprised', 'jamaica coffee flavored yuck']"
I had a salad in a restaurant for lunch and went crazy over the  roasted raspberry chipotle vinaigrette dressing. I decided  to recreate the salad myself at home. The salad dressing I found in my search on the internet was the Fischer & Wieser  Roasted Raspberry chipotle vinaigrette dressing. It is absolutely fabulous! I have made the salad  many times and for friends and have had to order extra bottles since I got them hooked on it too. This salad dressing will not disappoint and  deserves a five star review!,salad restaurant lunch went crazy roasted raspberry chipotle vinaigrette dressing decided recreate salad home salad dressing found search internet fischer wieser roasted raspberry chipotle vinaigrette dressing absolutely fabulous made salad many time friend order extra bottle since got hooked salad dressing disappoint deserves five star review,POSITIVE,0.7290835380554199,5,"['salad restaurant lunch', 'crazy roasted raspberry chipotle vinaigrette dressing', 'recreate salad home salad', 'found search internet fischer wieser roasted raspberry chipotle vinaigrette', 'absolutely fabulous made salad', 'many time friend order extra bottle', 'salad', 'dressing disappoint', 'five star review']"
I was so happy to see this deal. I recently have been using alot of pumpkin. I was so excited to see an organic product that I could actually afford! I look forward to using it in many recipies.,happy see deal recently using alot pumpkin excited see organic product could actually afford look forward using many recipies,POSITIVE,0.9876590371131897,-1,"['happy see deal', 'alot pumpkin', 'organic product', 'many recipies']"
"Very hot, but smooth, great consistancy, for use with most Korean cusine. Just a dab will do, you don't want too much. This items is tasty, but extremely hot. Great side with most Korean dishes",hot smooth great consistancy use korean cusine dab want much item tasty extremely hot great side korean dish,POSITIVE,0.9962942004203796,5,"['hot smooth great consistancy', 'korean cusine dab', 'much item tasty', 'extremely hot great side korean dish']"
"Okay, I jumped the gun, because they were sending me the review information, before I received my chips, so I thought I would be honest, and indicate that I have not received them, and I wasn't happy about not receiving them. However overall, the service is not bad, and my chips are on the way.Sorry guys, they really are not bad people, I am just an impatient buyer... there, is that better?",okay jumped gun sending review information received chip thought would honest indicate received happy receiving however overall service bad chip way sorry guy really bad people impatient buyer better,NEGATIVE,0.9968212842941284,3,"['review information', 'overall service bad chip way sorry guy', 'really bad people', 'impatient buyer']"
"Disappointingly, this is IMITATION Almond Extract and a terrible value.  The $0.65/oz price is also quite deceiving and misleading.  That fact that this is an imitation product was not made clear in the description.  I bought this only because I needed a filler item to reach my free shipping, but will not make that mistake again.<br /><br />Comparatively, [...] currently is selling top quality 100% Pure Almond Extract for only $6.69/4 oz.  Lesson learned... the hard way.",disappointingly imitation almond extract terrible value 0 65 oz price also quite deceiving misleading fact imitation product made clear description bought needed filler item reach free shipping make mistake br br comparatively currently selling top quality 100 pure almond extract 6 69 4 oz lesson learned hard way,NEGATIVE,0.9980822801589966,-1,"['disappointingly imitation almond', 'terrible value', 'price', 'misleading fact imitation product', 'clear description', 'needed filler item', 'free shipping', 'mistake br br', 'top quality 100 pure almond extract', 'lesson']"
"I've tried several brands and flavors of ground coffee from Amazon, and this is by far the.best.coffee.I've.had. I decided to write a review because last weekend my husband made me a latte, and it was yummy. I asked for a second one, and what he gave me was not what I had the first time. I asked him what was different, and he told me he used a different brand and flavor. He was really surprised that I could tell. The one that I LOVED was the Lavazza Crema e Gusto. Wow. What a difference. It's smooth and full bodied - okay, I'm full of crap. I have no idea what ""full bodied"" is other than a fat chick. But I can tell you this -- this coffee is tasty and you will not regret buying it.<br /><br />I bought it in January because there was a deal going on - $12 for 4 bricks. But here I am willing to pay $15 for 4 bricks (S&S price) less than 2 months later. I wish I had stocked up when it was cheaper, but who knew the coffee was going to be THAT GOOD! It's so worth even $18 for 4 bricks!",tried several brand flavor ground coffee amazon far best coffee decided write review last weekend husband made latte yummy asked second one gave first time asked different told used different brand flavor really surprised could tell one loved lavazza crema e gusto wow difference smooth full bodied okay full crap idea full bodied fat chick tell coffee tasty regret buying br br bought january deal going 12 4 brick willing pay 15 4 brick price less 2 month later wish stocked cheaper knew coffee going good worth even 18 4 brick,NEGATIVE,0.688846230506897,0,"['several brand flavor ground coffee amazon', 'far best coffee', 'write review', 'last weekend husband', 'latte', 'yummy', 'second one', 'first time', 'different brand flavor', 'one loved lavazza crema e gusto', 'wow difference', 'full bodied okay full crap idea', 'full bodied fat chick', 'coffee tasty regret', 'br br', 'january deal', '15 4 brick price', 'cheaper knew coffee']"
"My dog is relatively picky when it comes to treats, but she loves these. They don't do much to help her doggy breath, but maybe over time they will help.",dog relatively picky come treat love much help doggy breath maybe time help,NEGATIVE,0.5503175854682922,2,"['dog', 'relatively picky come treat love', 'doggy breath']"
"I bought this item for my dog to play with. She was smart and can get out all the food in it. Initially I like it since it was entertaining for my dog. However, my dog quickly chewed open the rope - only the 3 time I used it.<br /><br />I think there is a problem with the design - it will be great if the rope can be replaced with some better material so it does not get chewed immediately.<br /><br />I asked some dog friends and they pointed out the same problemm. I would not recommend this item for dogs who chew. Well, most dogs chew, so...There are many other interactive toys that you can try.",bought item dog play smart get food initially like since entertaining dog however dog quickly chewed open rope 3 time used br br think problem design great rope replaced better material get chewed immediately br br asked dog friend pointed problemm would recommend item dog chew well dog chew many interactive toy try,NEGATIVE,0.9932690262794495,2,"['item dog', 'food', 'dog', 'however dog', 'open rope', 'br br', 'problem design great rope', 'better material', 'br br', 'many interactive toy try']"
"This tea has a nice mellow taste.  It is not at all dusty and doesn't leave a bitter taste in your mouth, as is common with a lot of teas.  Will definately buy more in the future. The box is very nice and I would feel comfortable giving this as a gift.",tea nice mellow taste dusty leave bitter taste mouth common lot tea definately buy future box nice would feel comfortable giving gift,POSITIVE,0.5422927141189575,1,"['tea nice mellow taste', 'bitter taste mouth', 'common lot tea', 'gift']"
"This is THE best red curry, don't waste your time on the cheap imitators.  Mix with cocunut milk and real palm sugar + chicken and veggies and you will amaze your friend and families.  This is great red curry paste!",best red curry waste time cheap imitator mix cocunut milk real palm sugar chicken veggie amaze friend family great red curry paste,NEGATIVE,0.9866889119148254,-1,['best red curry waste time cheap imitator mix cocunut milk real palm sugar chicken veggie amaze friend family great red curry paste']
"I'd received a sample of Stash's English Breakfast Decaf with a previous order from Stash's website, and I knew it was good (for decaf tea, which is always missing something -- I think it's the caffeine.)  The price on this multipack was so good, that I could give a couple boxes away (which I did, cause I can't go through that much decaf tea in a year) and still save money over buying it in the supermarket.",received sample stash english breakfast decaf previous order stash website knew good decaf tea always missing something think caffeine price multipack good could give couple box away cause go much decaf tea year still save money buying supermarket,NEGATIVE,0.9972065091133118,1,"['sample stash english breakfast', 'previous order stash website', 'good decaf tea', 'something', 'caffeine price multipack', 'couple box', 'much decaf tea year', 'money', 'supermarket']"
"I can't think of anything bad to say about this coffee. Every guest we have had enjoys it. I'm not much of a hazelnut person, but it tastes pretty good to me.",think anything bad say coffee every guest enjoys much hazelnut person taste pretty good,POSITIVE,0.9911590218544006,0,"['anything', 'coffee', 'every guest', 'much hazelnut person']"
"I ordered these when I found out the Morningstar Farms veggie dogs are no longer available.  After reading about 100 reviews, I decided to try this variety.  We have been vegetarian for 12 years, so I am used to the faux meats.  Some I like, some I don't.  I LOVED Morningstar Veggie dogs, they were my absolute favorite.  Most veggie dogs in the refrigerated section of the grocery store have a ton of onion in them!  These Veja-dogs are OK on taste, but I do not like the texture.  It is A LOT like that of a hard boiled egg white.  When I first got one out of the can I did not want to even try one.  It was squishy and had tiny dark brown spots.  The syrupy stuff they are stored in really grossed me out too.  I have eaten about 5 now and am still not crazy about them.  My son however LOVES them.  He says they are his favorite.  I will try another Worthington veggie dog (Super Links or linkettes) before giving up on the ""canned"" dogs all together.  I hate onions, but I prefer the texture of the tofu dogs found in the grocery store.",ordered found morningstar farm veggie dog longer available reading 100 review decided try variety vegetarian 12 year used faux meat like loved morningstar veggie dog absolute favorite veggie dog refrigerated section grocery store ton onion veja dog ok taste like texture lot like hard boiled egg white first got one want even try one squishy tiny dark brown spot syrupy stuff stored really grossed eaten 5 still crazy son however love say favorite try another worthington veggie dog super link linkettes giving canned dog together hate onion prefer texture tofu dog found grocery store,NEGATIVE,0.9949906468391418,2,"['found morningstar farm veggie dog', '100 review', 'variety vegetarian', 'faux meat', 'loved morningstar veggie dog absolute favorite veggie dog refrigerated section grocery store ton onion veja dog', 'taste', 'texture lot', 'hard boiled egg white', 'one squishy tiny dark brown spot syrupy stuff', '5 still crazy son', 'however love', 'favorite', 'another worthington veggie dog super link linkettes', 'canned dog', 'hate onion', 'texture tofu dog', 'grocery store']"
"Edit: I've given this three stars vs my previous 1 star when I was told the can was not meant to brew tea in. I still would  prefer a ""total travel solution"", then it would have been 5 stars.<br /><br />Original Post: The can to brew the tea leaks. I sent the first one back thinking maybe it was defective. The second one leaked also. And, the can gets super hot, to the point of not being able to pick it up.  I also posted this review on the Teavana website, it has not been posted....just an FYI about neg reviews sent to them.",edit given three star v previous 1 star told meant brew tea still would prefer total travel solution would 5 star br br original post brew tea leak sent first one back thinking maybe defective second one leaked also get super hot point able pick also posted review teavana website posted fyi neg review sent,NEGATIVE,0.9957125186920166,1,"['edit', 'three star', 'previous 1 star', 'meant brew tea', 'total travel solution', '5 star br br original post', 'tea leak', 'maybe defective second one', 'super hot point', 'able pick', 'review teavana website', 'fyi neg review']"
"Lucy's Cinnamon Thins are crispy, yummy and entirely too tempting! They taste like snickerdoodles,and I can't quit eating them!",lucy cinnamon thins crispy yummy entirely tempting taste like snickerdoodles quit eating,NEGATIVE,0.9586836099624634,10,"['lucy cinnamon', 'crispy yummy entirely tempting taste', 'snickerdoodles']"
"After a lot of research, i decided to switch my 3-yr old Doberman from Iams to Canidae and have been very impressed with the product. Samson LOVES this stuff too, with the Iams I had to entice him to eat by mixing it with canned food/tablefood, but with the Canidae, he eagerly wolfs it down by itself. And why not? The first 4 ingredients are all meats- human-grade at that! Besides having less ""filler"", Canidae uses no corn products, which is good for dogs with allergies (corn is a common allergen in dogs). Some may balk at the price, but you are going to use less food per day then with the junk brands due to the high quality of indredients in this stuff. Besides, Canidae is considerably cheaper then most of the other top-shelf brands like Eagle Pack or Flint River. I'm just happy to be able to feed my dog a ""super-premium"" grade food knowing how much healthier this is for him, for just a few bucks more per bag then a mid-grade food like Iams or Pro Plan. When you look at it like that, I believe it's one of the best values in pet nutrition on the market today.",lot research decided switch 3 yr old doberman iams canidae impressed product samson love stuff iams entice eat mixing canned food tablefood canidae eagerly wolf first 4 ingredient meat human grade besides less filler canidae us corn product good dog allergy corn common allergen dog may balk price going use less food per day junk brand due high quality indredients stuff besides canidae considerably cheaper top shelf brand like eagle pack flint river happy able feed dog super premium grade food knowing much healthier buck per bag mid grade food like iams pro plan look like believe one best value pet nutrition market today,NEGATIVE,0.5723195672035217,2,"['lot research', '3 yr old doberman iams', 'impressed product samson love stuff iams entice eat', 'canned food tablefood canidae', 'less filler', 'us', 'corn product good dog allergy corn common allergen dog', 'price going', 'day', 'high quality indredients stuff', 'considerably cheaper top shelf brand', 'eagle pack flint river', 'happy able feed dog', 'super premium grade food', 'much healthier buck', 'bag', 'mid grade food', 'iams pro plan', 'one best value pet nutrition market']"
"I bought this apple butter as a change of pace from my normal peanut butter or laughing cow light cheese spread.  It is absolutely delicious and very healthy.  It's more like a jelly but I am willing to compromise given the nutritional value.  Real apple butter is higher in everything ... calories, fat, sugars, etc.  My next purchase will be a case of it!",bought apple butter change pace normal peanut butter laughing cow light cheese spread absolutely delicious healthy like jelly willing compromise given nutritional value real apple butter higher everything calorie fat sugar etc next purchase case,POSITIVE,0.9982032775878906,8,"['apple butter change pace normal peanut butter laughing cow light cheese', 'jelly willing compromise', 'nutritional value real apple butter higher everything', 'fat sugar']"
